"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.133783042E0,-1.845654325E0,-4.082546726E0,4.719592978E0,6.507548350E0
1.143809042E0,-1.880497298E0,-3.744893996E0,3.580405095E0,5.511787530E0
1.153835042E0,-1.696348012E0,-3.263700892E0,3.108529530E0,4.815838030E0
1.163860042E0,-1.208330623E0,-2.063572159E0,2.722526758E0,3.623609374E0
1.173886042E0,-1.190974917E0,5.706119415E-1,2.288891398E0,2.642544810E0
1.183911042E0,-1.550193933E0,3.239876704E0,2.107203789E0,4.164157790E0
1.193937042E0,-2.109731541E0,4.520365769E0,1.842220255E0,5.317748521E0
1.203963042E0,-2.804607632E0,4.653901849E0,1.038298270E0,5.531969783E0
1.213988042E0,-2.952203050E0,4.869403905E0,-1.570275611E-1,5.696600293E0
1.224014042E0,-2.271011197E0,6.116150735E0,-1.234900956E0,6.640012955E0
1.234039042E0,-1.439213195E0,7.866438142E0,-2.130327188E0,8.275897389E0
1.244065042E0,-9.050419790E-1,8.792696743E0,-2.856540263E0,9.289264733E0
1.254091042E0,-5.494061369E-1,8.719381430E0,-3.345890232E0,9.355449806E0
1.264116042E0,-9.446703136E-2,7.967776821E0,-3.679218362E0,8.776732835E0
1.274142042E0,4.513424832E-1,6.995168511E0,-4.453206112E0,8.304645520E0
1.284167042E0,9.965199137E-1,6.631804989E0,-6.058403049E0,9.037595745E0
1.294193042E0,1.458245298E0,6.289104357E0,-7.167983555E0,9.646724895E0
1.304219042E0,2.650312475E0,5.486134883E0,-7.618085259E0,9.754847778E0
1.314244042E0,3.765522680E0,4.419772902E0,-7.906723119E0,9.809680119E0
1.324270042E0,4.288823923E0,3.237591612E0,-7.353407534E0,9.107612884E0
1.334295042E0,4.629451132E0,1.767616654E0,-7.583337595E0,9.058879373E0
1.344321042E0,5.213915420E0,4.407008430E-1,-7.979340860E0,9.541960584E0
1.354347042E0,4.270484716E0,-3.023551360E-1,-6.615245674E0,7.879716598E0
1.364372042E0,3.110854967E0,-4.582014133E-1,-4.313852052E0,5.338228797E0
1.374398042E0,2.290171938E0,-5.632014728E-1,-2.556580439E0,3.478244808E0
1.384423042E0,3.834982924E0,-1.341893015E0,-4.163568377E-1,4.084253164E0
1.394449042E0,3.316830155E0,-1.165893286E0,-1.336278226E0,3.761157924E0
1.404474042E0,-8.200345731E-1,-4.197917846E-1,-1.225320293E0,1.533000869E0
1.414500042E0,-4.828022575E-1,-1.829562203E0,-9.508294782E-1,2.117657331E0
1.424526042E0,-1.635822898E-1,-2.882469741E0,-7.685340518E-1,2.987647161E0
1.434551042E0,-2.422887361E0,-3.248573268E0,-9.350914049E-1,4.159087325E0
1.444577042E0,-5.524082143E0,-3.410928812E0,-1.372212875E0,6.635728073E0
1.454602042E0,-7.274230387E0,-3.520836293E0,-2.818584816E0,8.558921444E0
1.464628042E0,-6.098747667E0,-3.551506109E0,-3.027125178E0,7.679284185E0
1.474654042E0,-3.219055939E0,-4.198155243E0,-1.752008389E0,5.572823519E0
1.484679042E0,-5.821663320E-1,-4.270052606E0,-8.342514932E-1,4.389560622E0
1.494705042E0,6.888066816E-1,-3.578733961E0,1.083826445E0,3.802166642E0
1.504730042E0,1.173661897E0,-3.087620471E0,2.730188949E0,4.285418780E0
1.514756042E0,2.266964924E0,-3.930132911E0,2.743855062E0,5.302246247E0
1.524782042E0,2.667364125E0,-5.549484202E0,2.765552909E0,6.749806603E0
1.534807042E0,3.165798329E0,-6.757207299E0,2.545462543E0,7.884257042E0
1.544833042E0,4.408331071E0,-6.556800415E0,2.529266925E0,8.295915000E0
1.554858042E0,6.401502460E0,-4.452431940E0,3.158371196E0,8.413007342E0
1.564884042E0,7.747073666E0,-1.334742163E0,2.518864728E0,8.254899548E0
1.574910042E0,7.329611705E0,2.244586460E0,2.168443433E0,7.966399629E0
1.584935042E0,6.796324003E0,5.246761569E0,6.877845883E-1,8.613453114E0
1.594961167E0,4.197347742E0,7.348644977E0,8.256759667E-1,8.503061323E0
1.604986167E0,1.425053578E0,7.014054433E0,2.322121124E0,7.524625161E0
1.615012167E0,-1.020396434E0,5.086787596E0,3.393349743E0,6.199309591E0
1.625038167E0,-3.007092617E0,2.756305538E0,2.814036852E0,4.955666416E0
1.635063167E0,-4.262410296E0,3.288719666E-1,7.064617646E-1,4.333057411E0
1.645089167E0,-4.793626329E0,-2.475199476E0,-1.518949921E0,5.604701124E0
1.655114167E0,-4.274614604E0,-3.102496372E0,-1.743964813E0,5.562304111E0
1.665140167E0,-3.408443161E0,-9.370262486E-1,-9.232823682E-1,3.653485090E0
1.675165167E0,-1.595525642E0,1.911195180E0,-7.188695562E-1,2.591359205E0
1.685191167E0,-3.431850734E-1,4.155928406E0,-7.198858023E-2,4.170695297E0
1.695217167E0,8.956792711E-1,5.128584663E0,3.778646171E-1,5.219904565E0
1.705242167E0,1.917861006E0,5.230208101E0,5.074097895E-1,5.593811966E0
1.715268167E0,3.011648183E0,4.786759359E0,1.037298396E0,5.749702419E0
1.725293167E0,4.599924739E0,3.712852131E0,2.937829424E0,6.601168100E0
1.735319167E0,6.947556388E0,3.546113514E0,1.062711637E0,7.872281553E0
1.745345167E0,6.010451787E0,1.484806859E-1,-5.976568488E-1,6.041917817E0
1.755370167E0,2.503101220E0,-5.651698794E0,-5.438039196E-1,6.205073544E0
1.765396167E0,3.644256105E0,-5.418907106E-1,-4.207773328E-1,3.708274756E0
1.775421167E0,-4.486523254E0,1.306893629E-1,2.485388249E0,5.130606725E0
1.785447167E0,-5.218556939E0,-3.476446279E0,1.954740565E0,6.568106724E0
1.795473167E0,-1.358497763E1,-1.315210241E1,3.046903385E0,1.915236369E1
1.805498167E0,-2.210549233E1,-2.033419529E1,2.570653517E0,3.014532383E1
1.815524167E0,-1.957917942E1,-1.596318875E1,-1.634039497E-1,2.526250903E1
1.825549167E0,-9.344148821E0,-5.853503748E0,-2.092398639E0,1.122295662E1
1.835575167E0,-2.134789199E0,1.048188835E0,-3.452018366E0,4.191951282E0
1.845600167E0,7.724648425E-1,4.151041887E0,-6.507307827E0,7.757119687E0
1.855626167E0,3.719978718E0,5.560764651E0,-1.028029974E1,1.226559856E1
1.865652167E0,5.083215532E0,5.126416515E0,-1.067527565E1,1.288723153E1
1.875677167E0,4.152092047E0,2.158468668E0,-5.533436519E0,7.246914866E0
1.885703167E0,2.071101910E0,-8.644418371E-1,-1.558449032E0,2.732304192E0
1.895728167E0,1.165518626E0,-1.800396291E0,-2.068845762E-1,2.154683666E0
1.905754167E0,1.093768612E0,-1.496438141E0,2.341119166E-1,1.868278693E0
1.915780167E0,1.398588641E0,-6.487152475E-1,-1.058423509E-1,1.545342766E0
1.925805167E0,1.327770235E0,3.254191858E-1,-7.271731871E-1,1.548435432E0
1.935831167E0,7.927789468E-1,4.273998892E-1,-2.684624813E-2,9.010493021E-1
1.945856167E0,1.751947432E0,1.631638631E0,5.825972718E-1,2.463936689E0
1.955882167E0,1.903742612E0,1.739846034E0,1.867799485E0,3.184332751E0
1.965908167E0,3.856136397E-1,9.114405870E-2,3.774216905E0,3.794959600E0
1.975933167E0,-7.444446927E-1,-1.224830881E0,3.756358339E0,4.020526901E0
1.985959167E0,-1.615085455E0,-1.658636395E0,1.025753653E0,2.532142625E0
1.995984167E0,-2.388292310E0,-1.640296018E0,-2.766797197E0,4.006204926E0
2.006010167E0,-2.905692250E0,-1.526225612E0,-4.654555568E0,5.695375282E0
2.016035167E0,-2.922394529E0,-1.170783312E0,-3.862840229E0,4.983237701E0
2.026061167E0,-2.082299328E0,-1.712263548E-1,-2.211678915E0,3.042501040E0
2.036087167E0,-8.840446275E-1,1.250763282E0,-9.277753687E-1,1.790729133E0
2.046112167E0,-1.937091914E-1,1.902728997E0,-2.894804442E-1,1.934347387E0
2.056138167E0,-4.959850976E-1,1.688184714E0,9.070925975E-1,1.979592339E0
2.066163167E0,-1.332235900E0,1.150671229E0,1.197376449E0,2.128992046E0
2.076189167E0,-1.832204267E0,1.850216907E-1,1.016988677E0,2.103680458E0
2.086215167E0,-4.364706749E-1,3.001861113E-1,6.220162761E-1,8.170205623E-1
2.096240167E0,1.011278140E0,6.849750012E-1,-6.588180667E-1,1.387773567E0
2.106266167E0,1.739182083E0,5.200776726E-1,-9.109681320E-1,2.031033737E0
2.116291167E0,2.116006919E0,-6.127121866E-2,-2.866772890E-1,2.136217056E0
2.126317167E0,2.497413633E0,-7.171609998E-1,9.682024330E-1,2.772870481E0
2.136343167E0,2.944843744E0,-1.172557358E0,1.196158474E0,3.387888801E0
2.146368167E0,2.323418914E0,-1.567626822E0,-2.295733809E-1,2.812193670E0
2.156394167E0,1.616560854E0,-1.476434816E0,-7.987998247E-1,2.330495639E0
2.166419167E0,1.574131265E0,-5.958698666E-1,-1.538619151E-1,1.690154912E0
2.176445167E0,2.332688505E0,6.462196559E-1,7.152863824E-1,2.524018644E0
2.186470167E0,2.721328663E0,1.203393819E0,2.118966048E0,3.652917121E0
2.196496167E0,1.866156417E0,9.617272264E-1,2.930323353E0,3.604754359E0
2.206522167E0,6.428092673E-1,4.720691085E-1,2.837094178E0,2.947058936E0
2.216547167E0,-1.203220156E0,2.546053112E-2,2.427657520E0,2.709595545E0
2.226573167E0,-2.869106514E0,-4.780987573E-1,3.142960274E-1,2.925599529E0
2.236598167E0,-3.310343547E0,1.205760187E-1,-3.393452654E0,4.742197158E0
2.246624167E0,-1.663614129E0,1.273518307E0,-2.622286186E0,3.356463271E0
2.256650167E0,3.981028537E-1,1.316709350E0,-4.118030262E-1,1.435893842E0
2.266675167E0,3.507054698E-1,1.028139317E-1,5.193731745E-2,3.691375300E-1
2.276701167E0,4.185894509E-1,-4.842161143E-1,1.624568177E0,1.746111147E0
2.286726167E0,8.795710690E-1,-5.843473434E-1,2.115679328E0,2.364573134E0
2.296752167E0,1.095011876E0,-4.512875193E-1,3.997180009E-1,1.249994365E0
2.306778167E0,1.463167776E0,-4.824537635E-3,-9.130076408E-1,1.724664074E0
2.316803167E0,1.217465728E0,-1.596266484E-1,-3.829002392E-1,1.286202184E0
2.326829167E0,1.304617015E0,4.338522917E-1,2.794360971E-1,1.402974661E0
2.336854167E0,1.031693839E0,1.162524705E0,3.546464932E-1,1.594249040E0
2.346880167E0,-1.028661327E0,-4.055225319E-1,1.257630837E0,1.674582925E0
2.356906167E0,-2.454856136E0,-2.039799426E0,1.064022510E0,3.364408454E0
2.366931167E0,-7.702608807E-1,-8.102896035E-1,-3.447775626E-1,1.169932747E0
2.376957167E0,1.432876275E-1,2.088683903E-1,-1.827652502E-1,3.123467390E-1
2.386982167E0,-4.563254803E-1,6.310256660E-2,5.211056131E-1,6.955328446E-1
2.397008167E0,-5.550008259E-1,4.188799113E-1,3.525496817E-1,7.796009074E-1
2.407033167E0,-1.078586170E0,1.835253882E-1,-2.537106872E-1,1.123120121E0
2.417059167E0,-8.419456981E-1,1.458447611E-1,-6.520066452E-1,1.074828320E0
2.427085167E0,-3.009982896E-1,-1.990918458E-2,-9.774908264E-2,3.170981380E-1
2.437110167E0,2.324984506E-2,-5.470555562E-1,7.043836641E-1,8.921696493E-1
2.447136167E0,6.955890863E-1,-7.185292482E-1,9.920643353E-1,1.408658973E0
2.457161167E0,3.026343405E-1,-1.964858587E0,3.578718174E-1,2.019982437E0
2.467187167E0,8.183165880E-1,-2.095649107E0,-7.601532376E-1,2.374704226E0
2.477213167E0,1.887007588E0,-8.254590350E-1,-6.556213939E-1,2.161485524E0
2.487238167E0,5.949455680E-1,-2.678890741E0,1.712403699E-1,2.749497972E0
2.497264167E0,6.160553321E-1,-3.429196683E0,1.359961789E0,3.740108305E0
2.507289167E0,3.330317928E0,1.280677053E0,1.211823750E0,3.768244686E0
2.517315167E0,4.590128607E0,6.382562744E0,8.319069425E-2,7.862144014E0
2.527341167E0,-1.163200205E0,1.566042227E0,-5.793222463E-1,2.034978436E0
2.537366167E0,-2.547474570E0,-2.085635750E0,4.316052067E-1,3.320509933E0
2.547392167E0,4.604829238E-1,-1.805833617E0,1.717348287E0,2.534238488E0
2.557417167E0,8.224072270E-2,-4.290384545E0,1.235439484E0,4.465475764E0
2.567443167E0,-3.084172368E-2,-4.961194081E0,6.842528701E-2,4.961761778E0
2.577469167E0,1.276567630E0,-2.066300762E-1,-5.578325593E-1,1.408367163E0
2.587493667E0,3.341080020E-1,2.794817639E0,-7.677592957E-1,2.917548308E0
2.597519667E0,-1.034742066E0,4.024132165E0,-8.454360473E-1,4.240176050E0
2.607544667E0,-1.520610238E0,4.876895943E0,-1.356144726E0,5.285404247E0
2.617570667E0,-1.557498421E0,5.580139400E0,-1.697466584E0,6.036981850E0
